sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[1780s] threads: 112, tps: 1213.50, reads: 17002.97, writes: 3641.89, response time: 143.96ms (95%), errors: 0.00, reconnects:  0.00
[1790s] threads: 112, tps: 1222.11, reads: 17108.51, writes: 3666.72, response time: 144.69ms (95%), errors: 0.00, reconnects:  0.00
[1800s] threads: 112, tps: 1205.59, reads: 16866.66, writes: 3615.17, response time: 145.47ms (95%), errors: 0.00, reconnects:  0.00
[1810s] threads: 112, tps: 1197.90, reads: 16781.49, writes: 3596.50, response time: 149.22ms (95%), errors: 0.00, reconnects:  0.00
[1820s] threads: 112, tps: 1108.10, reads: 15508.21, writes: 3321.50, response time: 167.65ms (95%), errors: 0.00, reconnects:  0.00
[1830s] threads: 112, tps: 1123.20, reads: 15728.20, writes: 3370.60, response time: 161.98ms (95%), errors: 0.00, reconnects:  0.00
[1840s] threads: 112, tps: 1146.00, reads: 16042.20, writes: 3439.40, response time: 159.62ms (95%), errors: 0.00, reconnects:  0.00
[1850s] threads: 112, tps: 1133.10, reads: 15864.00, writes: 3397.30, response time: 158.14ms (95%), errors: 0.00, reconnects:  0.00
[1860s] threads: 112, tps: 1092.90, reads: 15305.34, writes: 3280.11, response time: 173.31ms (95%), errors: 0.00, reconnects:  0.00
[1870s] threads: 112, tps: 922.80, reads: 12922.30, writes: 2768.20, response time: 208.28ms (95%), errors: 0.00, reconnects:  0.00
[1880s] threads: 112, tps: 1007.50, reads: 14100.90, writes: 3021.90, response time: 164.57ms (95%), errors: 0.00, reconnects:  0.00
[1890s] threads: 112, tps: 1086.40, reads: 15206.80, writes: 3258.60, response time: 152.47ms (95%), errors: 0.00, reconnects:  0.00
[1900s] threads: 112, tps: 1280.90, reads: 17930.67, writes: 3842.49, response time: 127.83ms (95%), errors: 0.00, reconnects:  0.00
[1910s] threads: 112, tps: 1289.70, reads: 18051.04, writes: 3869.31, response time: 126.49ms (95%), errors: 0.00, reconnects:  0.00
